Source Image,Matched URL,ORB Score,Feature Matches
1.jpeg,https://cdn.waplog.com/v1/image/waplog/jpeg/cdn_1557493157_85830798_75097c4e46.jpg?c=1&q=67&w=185&h=185,1.0,116
2.jpg,"https://m.media-amazon.com/images/I/61Yp7ovLpAL._AC_UF1000,1000_QL80_.jpg",1.0,444
