Image Name,Processing Time (s),Match Found,Notes
1954 Kaiser Darrin.jpg,6.63,0,No exact/visual matches found (skipped)
1957 Fiat 500.jpg,6.85,0,No exact/visual matches found (skipped)
1959 Austin-Healey 3000.jpg,5.90,0,No exact/visual matches found (skipped)
1961 Chrysler 300G.jpg,5.84,0,No exact/visual matches found (skipped)
1961 Lincoln Continental.jpg,6.26,0,No exact/visual matches found (skipped)
1964 Alfa Romeo TZ2.jpg,6.21,0,No exact/visual matches found (skipped)
1965 Iso Grifo.jpg,6.24,0,No exact/visual matches found (skipped)
1966 Ford Bronco.jpg,5.16,0,No exact/visual matches found (skipped)
1969 Porsche 917K.jpg,5.16,0,No exact/visual matches found (skipped)
1971 De Tomaso Pantera.jpg,5.31,0,No exact/visual matches found (skipped)
1971 Mazda RX-2.jpg,5.40,0,No exact/visual matches found (skipped)
1973 Nissan Fairlady Z432.jpg,5.44,0,No exact/visual matches found (skipped)
1974 International Harvester Scout II.jpg,5.81,0,No exact/visual matches found (skipped)
1976 Jensen Interceptor.jpg,6.93,0,No exact/visual matches found (skipped)
1980 Bitter SC.jpg,5.81,0,No exact/visual matches found (skipped)
1980 Mazda RX-7.jpg,6.06,0,No exact/visual matches found (skipped)
1980 Mercedes-Benz G-Class 460.jpg,6.02,0,No exact/visual matches found (skipped)
1983 Panther Kallista.jpg,6.13,0,No exact/visual matches found (skipped)
1984 Land Rover Defender 90.jpg,7.52,0,No exact/visual matches found (skipped)
1985 TVR 280i.jpg,6.85,0,No exact/visual matches found (skipped)
1988 Sauber-Mercedes C9.jpg,6.43,0,No exact/visual matches found (skipped)
ATP Finals.jpg,5.92,0,No exact/visual matches found (skipped)
ATR 42.jpg,5.19,0,No exact/visual matches found (skipped)
ATV Racing.jpg,6.61,0,No exact/visual matches found (skipped)
Aaron Judge - New York Yankees.jpg,6.29,0,No exact/visual matches found (skipped)
Aaron Rodgers.jpg,5.02,0,No exact/visual matches found (skipped)
Abel Kirui.jpg,4.98,0,No exact/visual matches found (skipped)
Acrylic Standees.jpg,4.63,0,No exact/visual matches found (skipped)
Adam Scott.jpg,4.62,0,No exact/visual matches found (skipped)
Adventure Racing (2).jpg,5.19,0,No exact/visual matches found (skipped)
Adventure Racing.jpg,4.72,0,No exact/visual matches found (skipped)
Aermacchi MB-339.jpg,5.72,0,No exact/visual matches found (skipped)
Agnieszka Radwańska.jpg,6.16,0,No match found above threshold
Akshardham Temple.jpg,5.92,0,No exact/visual matches found (skipped)
Alain Moussi.jpg,6.63,0,No exact/visual matches found (skipped)
Alenia Aermacchi M-346.jpg,5.49,0,No exact/visual matches found (skipped)
Alexei Nemov.jpg,5.59,0,No exact/visual matches found (skipped)
Alligator (Farmed).jpg,5.84,0,No exact/visual matches found (skipped)
Almaz Ayana.jpg,5.77,0,No exact/visual matches found (skipped)
Alpaca.jpg,5.79,0,No exact/visual matches found (skipped)
Alpine Goat.jpg,5.90,0,No exact/visual matches found (skipped)
Alumaweld Super Vee Pro 20.jpg,6.88,0,No exact/visual matches found (skipped)
Aly Raisman.jpg,5.54,0,No exact/visual matches found (skipped)
Amtrak P42 Genesis.jpg,5.98,0,No exact/visual matches found (skipped)
Anderson Silva.jpg,5.59,0,No exact/visual matches found (skipped)
André Greipel.jpg,5.81,0,No exact/visual matches found (skipped)
Andy Murray.jpg,4.59,0,No exact/visual matches found (skipped)
Andy Pettitte - New York Yankees.jpg,4.79,0,No exact/visual matches found (skipped)
Angela Mao.jpg,4.61,0,No exact/visual matches found (skipped)
Animal Crossing_ New Horizons.jpg,5.25,0,No exact/visual matches found (skipped)
Ankle Guards.jpg,4.76,0,No exact/visual matches found (skipped)
Anohana.jpg,5.24,0,No exact/visual matches found (skipped)
Antonio Inoki.jpg,4.77,0,No exact/visual matches found (skipped)
Antonov An-225 Mriya.jpg,4.69,0,No exact/visual matches found (skipped)
Apex Legends.jpg,6.20,0,No exact/visual matches found (skipped)
Aquathlon.jpg,5.02,0,No exact/visual matches found (skipped)
"Aquaventure, Dubai.jpg",5.35,0,No exact/visual matches found (skipped)
Arabian Horse.jpg,5.66,0,No exact/visual matches found (skipped)
Asafa Powell.jpg,5.94,0,No exact/visual matches found (skipped)
"Atomium, Brussels.jpg",5.67,0,No match found above threshold
Attack on Titan Nendoroids.jpg,5.99,0,No exact/visual matches found (skipped)
Auckland War Memorial Museum.jpg,5.62,0,No exact/visual matches found (skipped)
Avocado Sushi Rolls.jpg,5.17,0,No exact/visual matches found (skipped)
Azimut Atlantis 45.jpg,6.32,0,No exact/visual matches found (skipped)
BASE Jumping.jpg,5.25,0,No exact/visual matches found (skipped)
BMX Freestyle.jpg,5.07,0,No exact/visual matches found (skipped)
BMX World Championships.jpg,6.20,0,No exact/visual matches found (skipped)
BR Class 37.jpg,5.46,0,No exact/visual matches found (skipped)
BRIG Eagle 8.jpg,5.94,0,No exact/visual matches found (skipped)
Backstroke.jpg,5.57,0,No exact/visual matches found (skipped)
"Badlands National Park, USA.jpg",5.44,0,No exact/visual matches found (skipped)
Badminton Racket.jpg,5.93,0,No exact/visual matches found (skipped)
Baháʼí Temple of South America.jpg,6.15,0,No exact/visual matches found (skipped)
Baked Eggplant Slices.jpg,6.31,0,No exact/visual matches found (skipped)
Baked Mac and Cheese.jpg,5.92,0,No exact/visual matches found (skipped)
Baked Tofu.jpg,5.88,0,No exact/visual matches found (skipped)
"Bakken, Denmark.jpg",6.92,0,No exact/visual matches found (skipped)
Balance Beam.jpg,6.07,0,No exact/visual matches found (skipped)
