Image Name,Processing Time (s),Match Found,Notes
Billb_366.jpg,13.69,0,No match found above threshold
Billb_367.jpg,15.39,0,No match found above threshold
Billb_368.jpg,14.66,0,No match found above threshold
Billb_369.jpg,10.83,0,No match found above threshold
Billb_370.jpg,14.19,0,No match found above threshold
Billb_371.jpg,12.29,0,No match found above threshold
Billb_372.jpg,26.93,1,Match found and saved
Billb_373.jpg,13.66,1,Match found and saved
Billb_374.jpg,14.65,0,No match found above threshold
Billb_375.jpg,16.23,0,No match found above threshold
Billb_376.jpg,10.39,0,No match found above threshold
Billb_377.jpg,12.63,0,No match found above threshold
Billb_378.jpg,19.52,1,Match found and saved
Billb_379.jpg,12.50,0,No match found above threshold
Billb_380.jpg,13.10,1,Match found and saved
Billb_381.jpg,16.05,0,No match found above threshold
Billb_382.jpg,15.91,0,No match found above threshold
Billb_383.jpg,11.22,0,No match found above threshold
Billb_384.jpg,12.82,0,No match found above threshold
Billb_385.jpg,14.41,0,No match found above threshold
Billb_386.jpg,13.30,0,No match found above threshold
Billb_387.jpg,12.25,0,No match found above threshold
Billb_388.jpg,16.80,1,Match found and saved
Billb_389.jpg,12.29,0,No match found above threshold
Billb_390.jpg,16.16,0,No match found above threshold
Billb_391.jpg,16.36,0,No match found above threshold
Billb_392.jpg,15.35,0,No match found above threshold
Billb_393.jpg,15.22,1,Match found and saved
Billb_394.jpg,13.91,0,No match found above threshold
Billb_395.jpg,13.89,0,No match found above threshold
Billb_396.jpg,12.44,0,No match found above threshold
Billb_397.jpg,15.52,0,No match found above threshold
Billb_398.jpg,14.17,0,No match found above threshold
Billb_399.jpg,12.81,0,No match found above threshold
Billb_400.jpg,13.62,1,Match found and saved
Billb_401.jpg,12.11,0,No match found above threshold
Billb_402.jpg,15.77,1,Match found and saved
Billb_403.jpg,14.25,0,No match found above threshold
Billb_404.jpg,12.00,0,No match found above threshold
Billb_405.jpg,12.55,0,No match found above threshold
Billb_406.jpg,26.85,1,Match found and saved
Billb_407.jpg,14.06,0,No match found above threshold
Billb_408.jpg,22.64,1,Match found and saved
Billb_409.jpg,16.25,0,No match found above threshold
Billb_410.jpg,12.30,0,No match found above threshold
Billb_411.jpg,11.91,1,Match found and saved
Billb_412.jpg,12.34,1,Match found and saved
Billb_413.jpg,13.44,0,No match found above threshold
